SALERNO,NAPOLI CENTRALE,ROMA TIBURTINA
0.5,11.0,2.5
4.0,-3.5,7.0
1.0,-6.0,-3.5
0.5,-7.5,-2.5
1.5,-3.0,0.0
3.5,-3.0,1.0
0.5,-6.5,-1.0
3.5,-2.5,3.0
0.0,-9.0,-4.0
1.5,0.0,8.5
0.0,-7.5,0.0
0.5,-1.5,4.0
2.0,-5.5,7.0
0.0,-7.5,-3.0
1.0,-7.0,3.5
0.5,-10.5,1.0
0.5,-10.0,-1.5
2.0,-6.5,3.0
2.0,-7.0,3.0
0.5,-9.5,-2.5
87.5,77.5,382.5
2.5,-2.5,-3.0
0.5,-8.0,0.5
5.0,-3.0,-1.5
1.0,-7.5,0.5
0.5,-8.5,10.0
0.0,-5.0,2.5
1.0,-3.0,-2.5
3.5,-4.0,-3.5
1.0,-3.5,-2.0
2.0,-8.5,-3.0
0.5,-8.0,1.0
1.0,-9.5,0.0
0.5,-9.0,-0.5
3.0,1.5,-0.5
3.5,3.5,6.0
2.5,-7.0,-2.0
9.0,3.5,-2.0
0.5,-3.5,11.5
1.5,9.5,2.5
0.0,-6.0,1.5
0.5,-2.5,-4.5
0.0,-6.5,0.5
1.0,-8.5,2.0
1.0,-6.0,15.0
0.5,-8.5,-1.0
0.5,-7.5,7.5
3.5,3.5,1.5
0.5,-7.5,0.0
2.0,-5.0,1.5
1.0,-3.5,24.0
1.0,-7.0,0.0
3.0,-3.5,5.0
1.5,-8.0,0.0
0.0,-8.5,-2.5
1.0,-4.0,3.0
0.5,-10.5,2.5
0.5,-9.0,-1.5
2.0,-3.5,15.0
1.5,-6.5,1.0
1.0,-4.0,-3.0
1.0,-6.5,-2.5
4.0,-4.5,1.5
3.5,-1.0,-0.5
1.5,-2.5,1.5
0.0,-8.5,1.5
0.0,-8.0,-1.0
0.5,-6.0,17.5
0.5,-9.5,-2.0
1.0,-4.5,0.0
0.0,-8.5,2.5
0.5,-10.0,1.5
21.0,56.5,70.0
0.0,-10.0,6.0
1.0,-7.5,5.5
3.5,0.0,2.0
0.5,1.5,5.5
3.5,-3.5,3.5
1.5,-1.5,5.5
0.5,-9.5,3.0
0.0,-9.5,1.0
0.5,-7.5,-1.5
0.5,-2.0,4.0
0.0,-8.0,5.0
1.0,1.0,-1.0
0.0,-9.0,6.0
1.0,-6.0,17.0
0.5,-7.5,6.5
1.0,-8.5,-1.5
1.0,-5.0,-2.5
0.5,-7.0,-2.0
2.0,-8.0,-4.0
2.5,-6.0,0.5
3.0,0.5,15.0
1.0,4.0,12.0
0.5,-5.0,-0.5
1.0,-8.5,2.0
0.0,-9.0,29.0
1.5,-6.0,2.0
1.0,-9.0,-1.0
