FERRARA,MONTESANTO,PORTOMAGGIORE
1.0,3.5,2.5
0.5,3.5,2.5
0.5,1.5,1.0
17.0,38.0,36.5
0.5,2.5,1.0
1.5,2.5,2.0
0.5,1.5,0.0
0.5,2.0,1.5
1.5,3.0,1.5
1.0,2.5,1.0
0.5,2.0,1.0
0.5,1.5,0.0
0.5,2.0,1.5
0.0,1.5,1.0
1.0,2.5,1.5
1.0,2.0,2.0
1.0,3.0,2.0
1.0,1.5,0.5
24.5,28.5,28.0
5.0,6.5,5.5
0.0,1.0,0.0
0.5,1.5,0.0
0.0,1.5,1.0
0.5,1.5,0.5
0.5,3.5,2.5
0.0,1.0,-0.5
1.0,2.0,0.5
1.5,3.5,3.5
1.0,1.5,1.0
0.5,1.0,-0.5
1.5,2.5,2.0
0.5,2.5,1.0
0.0,1.0,-0.5
1.0,2.5,1.0
0.0,0.5,-0.5
1.0,2.5,1.5
1.0,2.5,2.0
0.5,2.0,1.0
1.5,6.0,5.0
0.0,1.5,0.5
0.0,1.0,0.5
1.0,2.0,1.5
1.0,2.5,0.5
0.0,0.5,-1.0
0.5,1.0,0.5
1.0,3.0,1.0
0.5,2.0,1.0
1.5,2.0,1.5
0.0,1.5,0.0
0.0,0.5,-0.5
1.0,2.5,2.0
0.5,2.0,1.0
1.0,2.5,1.0
1.0,2.0,1.5
1.0,2.5,1.5
1.0,2.5,1.0
0.0,1.0,3.5
0.5,2.0,1.0
1.0,2.5,1.0
0.5,1.0,0.0
0.5,2.0,0.5
1.5,2.5,1.5
0.0,0.5,-0.5
0.5,2.0,0.5
0.5,1.5,0.5
23.0,25.5,24.5
1.0,2.5,1.5
1.0,3.0,2.0
0.0,1.0,0.0
0.5,1.5,0.5
1.0,3.5,2.0
0.5,2.0,0.5
1.0,3.5,1.5
0.5,2.0,0.5
0.5,1.5,0.5
0.5,1.5,0.0
0.0,1.5,0.0
0.5,2.0,0.5
1.0,3.0,1.5
0.5,1.5,0.0
14.5,14.5,13.0
1.0,4.0,3.5
0.5,2.5,1.5
1.5,2.0,1.0
0.5,2.0,1.0
0.5,3.0,2.0
3.0,3.5,2.5
1.0,2.5,1.0
23.5,32.5,31.5
21.0,26.5,25.0
2.5,4.5,2.5
0.5,1.5,0.0
2.0,5.0,4.0
0.5,1.5,1.0
0.5,2.0,0.5
0.5,2.5,1.5
6.5,7.5,6.5
1.5,3.0,2.0
3.0,3.5,1.5
2.0,3.5,3.0
