BOLZANO,TRENTO,ROVERETO
1.0,-2.0,0.5
4.5,1.5,1.5
1.5,-0.5,4.0
0.5,-2.0,-0.5
1.0,0.5,1.5
1.0,-2.0,0.0
3.5,6.5,6.5
0.5,0.5,0.5
1.0,3.5,3.0
0.5,-2.0,-1.5
1.0,-1.5,-1.0
2.0,2.0,2.0
1.0,2.0,2.0
0.5,-2.5,-0.5
1.0,2.0,2.5
0.5,-1.5,0.0
6.5,7.0,7.5
1.0,2.0,3.0
3.0,1.5,3.5
6.5,4.5,4.5
1.0,-2.0,0.0
2.0,-1.0,-0.5
0.5,-3.0,-1.5
5.0,8.5,23.5
1.5,2.0,3.0
1.0,-1.5,-0.5
0.5,1.0,1.0
1.5,-0.5,1.0
1.0,-0.5,0.5
2.0,1.0,0.0
1.0,0.0,2.0
1.0,-0.5,0.5
1.0,-0.5,2.0
3.5,1.0,2.5
5.5,5.0,8.0
1.0,0.5,0.5
2.0,0.5,1.0
0.5,-0.5,0.5
0.5,-4.5,-0.5
1.0,-2.0,-1.0
1.0,-0.5,0.0
1.0,1.0,0.5
1.0,17.5,18.5
1.5,3.5,3.0
0.5,-0.5,0.5
3.5,4.0,4.5
0.5,3.5,3.5
24.0,22.0,24.0
0.5,0.0,1.5
1.5,-4.0,1.0
2.5,2.0,2.5
1.0,0.5,0.5
5.5,4.0,3.5
0.5,-1.0,-1.0
1.0,1.5,2.0
1.5,1.5,3.0
0.5,-2.0,-0.5
2.0,1.0,1.0
0.5,2.5,4.0
1.0,4.5,6.5
0.5,2.0,1.0
1.0,0.5,0.5
1.0,4.5,6.5
1.5,-1.5,0.0
2.5,1.5,1.5
1.0,0.5,0.0
1.5,1.5,4.0
0.5,1.5,2.5
1.0,-1.0,0.0
0.5,2.5,3.0
1.0,1.5,1.0
1.0,1.5,4.0
1.0,2.0,3.0
0.5,4.5,6.5
1.0,-1.0,0.0
0.5,-3.5,-0.5
1.0,-1.5,0.0
0.5,-2.0,0.0
1.0,0.0,1.5
7.0,3.5,4.0
1.0,-1.0,1.0
2.0,1.5,3.5
1.5,0.0,1.5
0.5,-0.5,-1.0
0.5,-3.5,3.5
0.5,3.5,3.5
1.0,0.0,0.0
1.5,2.0,3.0
2.0,2.5,3.0
1.0,0.0,0.5
1.0,-1.5,-0.5
1.5,0.5,1.0
1.0,0.5,0.0
2.0,3.0,3.5
1.0,-0.5,0.0
2.5,2.0,2.0
1.0,-0.5,1.0
0.5,-1.0,1.5
1.5,1.5,3.0
1.0,-2.5,-0.5
