CASTELFRANCO D'EMILIA,MODENA
2.5,4.5
0.5,1.5
3.0,9.0
2.0,3.0
2.5,4.5
4.5,4.0
2.5,3.0
2.5,3.5
2.5,3.0
3.0,3.0
1.0,1.0
2.5,3.5
1.5,2.5
1.0,1.0
1.5,1.0
2.5,4.5
1.5,2.0
4.0,4.0
1.5,2.0
10.5,10.5
1.5,2.0
2.5,2.5
1.5,1.0
1.5,1.5
3.0,3.0
1.0,2.5
3.0,2.5
1.5,4.5
3.0,4.5
2.5,3.5
1.0,0.5
4.0,5.0
3.5,3.5
3.5,3.5
18.5,18.5
5.5,8.5
3.0,4.5
1.0,1.0
4.0,10.5
4.0,7.5
1.5,4.0
2.0,2.5
7.5,8.0
15.5,15.5
1.0,0.5
4.0,4.5
2.0,3.0
2.5,1.0
1.5,1.5
3.5,4.5
5.5,7.5
1.5,1.0
5.0,5.5
22.5,22.0
2.0,3.0
2.5,2.5
0.5,0.5
6.5,6.5
6.0,6.5
4.0,5.0
8.0,7.5
1.0,1.0
3.0,3.0
0.5,1.5
1.5,1.5
1.5,1.5
1.5,1.0
17.0,16.5
0.5,2.0
4.0,4.0
3.0,4.0
16.0,15.5
3.0,2.5
1.5,1.5
1.0,1.0
1.5,1.0
1.0,0.5
2.0,2.0
2.0,1.5
2.5,8.0
1.5,1.5
1.0,1.5
2.0,2.0
3.5,4.0
6.5,7.5
4.0,4.0
2.0,3.0
7.0,22.5
6.5,8.0
6.5,7.5
1.5,1.5
4.5,4.5
2.0,2.5
5.0,5.0
6.5,6.0
9.5,9.5
3.0,2.5
1.5,4.0
8.5,9.0
4.0,3.5
