FERRARA,S.PIETRO IN CASALE
0.5,1.5
0.0,-1.0
-1.5,-1.5
-1.5,-1.5
68.0,82.0
-1.0,3.0
-1.0,-1.0
0.5,1.0
4.0,2.0
0.0,-1.0
2.0,2.0
33.0,31.5
6.0,3.5
1.5,0.0
-0.5,-2.0
-0.5,-2.5
-1.0,-3.0
-1.5,0.0
-1.0,0.0
-2.0,-3.0
0.5,-1.0
-2.0,-3.0
20.5,22.5
2.0,1.5
-1.5,-2.5
-1.5,-3.5
-1.5,0.5
-1.5,-1.5
0.0,-1.0
-1.5,-2.5
0.0,0.0
-1.5,-2.5
-2.5,-3.5
-2.0,-1.5
0.5,-0.5
-1.5,-3.0
-0.5,-2.5
-0.5,-1.0
-1.0,1.5
-1.0,0.5
0.5,-1.5
-1.5,-2.0
0.0,-1.0
3.5,3.5
3.0,2.0
0.0,-0.5
-1.5,-1.0
-1.5,-2.0
3.5,1.5
2.5,1.0
0.0,-0.5
1.5,0.5
-1.5,-3.0
-2.0,-3.0
3.0,4.0
-3.5,-4.0
-0.5,-1.5
-1.0,-3.5
0.0,0.0
-1.0,-3.0
2.5,1.5
1.5,3.0
-1.0,-2.5
-0.5,-2.5
0.0,-2.5
-1.5,-1.5
-1.5,0.0
-0.5,0.5
3.5,3.5
2.5,0.5
-2.0,-2.5
-1.0,-2.0
19.0,17.0
-1.0,-1.0
-1.5,-0.5
2.0,1.0
-1.0,-3.0
-1.5,-0.5
-1.0,-2.0
0.5,-1.5
-1.0,-1.0
-0.5,0.5
4.0,2.5
0.5,-1.5
-2.0,-1.5
3.0,4.5
2.0,0.5
0.5,1.5
-1.5,-1.5
-1.5,-3.5
1.0,-0.5
0.0,-0.5
-2.5,-2.0
-1.5,-2.0
20.0,17.0
0.0,-1.5
2.0,0.5
8.0,11.5
0.0,-1.5
-1.5,-3.0
