BOLOGNA C.LE,CASTEL S.PIETRO TERME
1.5,0.0
1.5,0.0
4.0,2.0
2.0,-1.0
2.5,3.0
1.5,4.5
2.0,0.5
4.0,2.5
12.0,13.0
1.5,2.0
1.0,6.0
1.5,-1.0
1.5,-1.0
1.0,1.5
3.0,3.0
1.5,0.5
1.5,-1.0
1.5,4.0
1.0,1.0
1.5,2.5
1.5,-0.5
2.0,12.0
1.5,0.5
1.5,-0.5
1.5,-1.0
3.0,6.0
2.0,1.0
1.5,1.5
2.0,1.5
1.5,5.5
3.0,2.5
2.0,1.0
3.0,0.5
1.0,0.0
2.0,6.0
1.0,2.0
3.0,1.0
21.0,18.0
1.5,0.0
1.5,-0.5
2.5,1.5
2.5,0.0
4.0,3.5
3.5,4.0
2.0,0.0
2.0,1.0
56.0,59.0
2.0,1.0
1.5,1.0
1.5,-1.5
2.5,1.0
1.5,0.0
1.5,3.0
3.5,5.0
1.5,1.0
1.5,2.0
2.0,0.0
2.0,1.5
2.5,0.0
1.0,-1.5
2.0,0.0
1.5,0.5
3.0,1.5
2.5,1.5
1.5,1.0
1.5,0.0
2.0,0.5
1.0,1.5
1.5,0.5
3.5,2.5
1.5,0.5
6.5,8.0
1.5,-0.5
1.5,-1.0
1.5,1.5
2.0,1.5
1.5,0.5
1.5,-0.5
1.5,2.0
2.0,2.0
1.0,-1.0
2.0,0.0
1.5,0.0
1.5,-0.5
1.5,1.0
1.0,3.5
1.5,-0.5
9.5,8.5
2.0,0.5
3.0,2.5
2.0,0.0
1.5,0.5
1.5,4.0
1.5,1.0
1.5,-0.5
2.5,-0.5
2.0,1.0
2.5,0.0
2.0,1.0
2.5,2.5
