NAPOLI CENTRALE,NAPOLI AFRAGOLA
1.5,0.0
3.0,1.5
1.5,-1.0
2.0,0.5
8.0,5.0
2.0,2.5
2.5,0.5
5.0,3.5
2.0,0.5
3.0,2.0
2.0,0.5
4.5,3.5
0.5,-1.0
1.0,-0.5
1.0,-0.5
4.5,2.5
1.0,-0.5
0.0,-1.5
1.5,0.5
0.5,-1.5
1.5,2.0
0.5,-0.5
1.0,0.0
0.5,-1.0
2.0,-0.5
1.5,-0.5
1.5,0.5
2.0,0.5
1.5,-1.0
1.5,0.0
2.0,1.5
2.5,0.5
3.0,1.5
2.0,1.0
3.5,1.5
0.0,2.0
1.5,-1.5
0.0,-1.5
1.5,0.0
1.5,-1.0
2.5,0.5
9.0,6.5
1.5,0.0
0.5,-1.5
2.0,0.0
0.5,-1.0
3.0,2.5
0.5,-0.5
3.5,2.0
3.0,1.5
243.0,243.0
3.0,1.5
3.0,1.0
2.5,1.0
3.0,1.5
2.5,1.0
1.0,-0.5
3.0,0.5
2.5,0.5
6.5,4.5
1.0,-1.0
3.5,2.0
1.0,2.5
2.0,2.5
0.0,-1.0
3.5,2.5
0.5,-0.5
9.5,7.0
1.0,-1.0
2.5,0.5
2.0,-0.5
3.0,0.5
1.0,-0.5
1.5,-0.5
2.0,1.0
0.5,-1.5
0.0,-2.0
1.5,1.5
4.5,2.5
1.5,-1.0
0.5,-0.5
0.0,1.5
2.0,0.5
1.5,-0.5
2.5,1.0
6.0,5.0
5.5,3.5
5.0,3.0
1.0,-0.5
19.0,17.5
6.5,5.0
2.0,-0.5
4.0,2.5
2.5,5.0
0.5,-0.5
0.5,-1.0
3.0,0.5
1.0,1.0
4.0,2.5
1.0,0.5
