OZZANO DELL'EMILIA,VARIGNANA
2.0,2.0
1.5,1.5
3.0,3.5
3.0,2.5
42.5,42.5
1.5,1.5
3.0,3.0
2.0,1.5
4.0,4.0
2.5,1.5
2.5,2.0
2.5,2.5
3.0,3.5
2.0,2.0
3.0,2.5
2.5,2.5
2.5,2.5
1.5,1.5
12.5,12.0
2.0,2.0
1.5,1.5
2.5,2.0
3.0,3.0
3.0,3.5
4.0,3.5
2.5,2.5
2.0,2.5
2.0,1.5
1.5,2.0
2.0,1.5
1.5,2.0
1.5,1.5
4.0,3.5
3.0,3.0
5.0,4.5
2.0,2.0
2.0,1.5
3.5,3.5
3.0,2.5
3.0,3.0
2.0,1.5
2.0,1.5
2.5,2.5
2.5,1.5
2.5,2.5
2.5,2.0
1.5,2.0
2.0,2.5
2.0,1.5
1.5,1.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,1.5
2.0,1.5
4.5,4.0
4.0,4.0
4.5,5.0
2.0,2.0
4.0,4.0
1.5,1.5
1.5,1.5
1.5,1.5
5.0,4.5
3.5,3.0
3.0,3.0
6.0,5.5
3.0,3.5
3.0,2.5
3.5,3.5
1.0,1.0
2.0,2.0
1.5,1.5
2.0,2.0
19.0,19.5
2.0,2.0
5.5,5.5
2.0,2.0
1.5,1.0
4.5,4.0
2.5,2.5
4.0,4.0
3.0,2.5
1.0,1.0
5.5,4.5
2.5,2.5
1.5,1.5
2.0,2.0
2.5,1.5
3.0,2.5
5.5,4.5
4.0,3.5
1.5,1.5
3.5,3.0
3.0,3.0
2.0,2.0
1.5,1.5
2.5,3.0
1.5,1.5
2.0,1.0
