FIRENZE RIFREDI,FIRENZE CASTELLO
0.5,-1.5
1.5,1.0
-1.0,-1.0
0.0,-0.5
-0.5,-2.0
2.5,1.5
7.0,7.0
0.0,-1.5
2.5,2.0
1.0,-0.5
2.0,10.0
2.5,1.5
0.0,-1.5
1.5,0.5
0.5,0.5
0.0,-1.0
3.0,2.0
-0.5,-0.5
1.0,0.0
1.5,3.0
1.0,2.5
1.0,-0.5
1.0,0.0
4.0,4.0
-0.5,-1.5
-0.5,-1.5
2.5,3.0
2.5,0.5
1.0,1.0
0.0,-1.5
2.5,5.5
4.0,4.0
0.5,0.0
2.0,2.0
2.5,2.0
0.5,-1.0
2.0,1.5
1.0,0.0
1.0,0.0
0.5,0.0
0.0,0.5
1.5,2.0
2.5,3.0
1.0,-0.5
-0.5,-2.0
0.0,0.0
1.0,-0.5
0.5,0.5
0.0,-1.0
9.5,10.5
0.0,0.0
0.0,-2.0
3.5,3.0
1.0,0.5
0.0,-1.5
1.5,1.0
1.0,0.0
0.5,1.5
1.0,0.0
1.0,1.0
1.5,-0.5
1.0,0.5
2.0,1.0
0.5,-1.0
3.5,4.5
0.0,-1.5
0.0,0.0
0.0,-1.5
0.5,0.0
-0.5,-1.5
1.5,1.0
0.5,0.5
0.5,-1.5
2.5,2.5
0.5,-1.5
0.5,-0.5
2.0,2.5
-0.5,-1.5
0.0,-1.0
0.5,1.0
0.5,-1.5
1.0,1.0
0.0,-1.0
2.5,2.0
2.0,1.0
0.5,0.5
1.0,0.5
2.0,0.5
1.0,0.5
1.0,1.0
0.5,-1.0
0.5,0.5
-0.5,-1.0
0.0,0.5
0.5,0.5
0.0,-1.5
2.5,2.5
1.5,0.0
3.5,1.5
2.0,1.5
0.0,0.5
-0.5,-1.0
0.5,0.5
0.5,-1.0
0.0,-1.0
0.0,-1.0
1.0,0.5
3.5,2.0
0.5,1.0
2.5,2.5
1.5,0.0
0.5,0.5
1.0,0.0
1.5,1.0
0.5,-0.5
0.5,-0.5
2.0,1.5
3.0,2.0
1.5,2.0
0.0,1.0
0.5,0.0
2.0,0.0
1.0,1.5
1.0,0.0
0.0,0.0
0.0,-1.5
1.0,0.0
1.0,0.5
1.5,1.5
1.0,0.0
2.5,2.5
2.0,1.5
0.0,-0.5
0.0,0.0
1.0,0.0
0.5,0.5
2.0,2.5
1.0,-0.5
0.5,0.0
1.0,-0.5
0.0,0.0
4.5,2.5
1.0,0.5
3.5,4.5
0.0,-1.0
0.5,0.0
2.5,2.5
0.0,0.0
0.0,-1.0
1.5,1.0
1.0,-0.5
0.5,1.0
1.0,0.5
0.5,-1.0
-0.5,-0.5
4.5,5.0
1.0,0.5
7.0,5.5
0.0,-0.5
0.5,-1.0
0.0,-0.5
1.0,1.0
1.0,0.0
0.0,-1.5
4.5,4.0
0.5,-0.5
5.5,5.5
0.5,-1.0
4.0,4.0
1.5,1.5
0.5,0.5
0.0,-1.0
3.0,2.5
0.5,-0.5
0.5,0.5
5.0,3.0
0.5,-0.5
0.5,-1.0
0.5,0.5
16.5,16.0
0.0,-1.5
0.5,0.5
0.0,-2.0
0.5,0.5
1.5,3.5
1.5,1.5
-0.5,-1.0
0.0,-1.5
1.0,0.0
1.5,1.5
8.5,8.5
1.5,2.5
0.0,-0.5
-0.5,-1.0
2.0,1.5
0.5,-1.0
-0.5,-1.0
1.5,0.0
0.5,-1.0
1.5,1.5
1.5,1.5
2.5,1.0
1.0,1.5
0.5,-0.5
1.0,1.5
0.5,-1.5
0.5,-0.5
0.0,0.0
0.5,-1.0
2.5,2.0
0.0,-1.0
0.0,0.0
3.5,3.0
1.5,0.0
4.0,4.0
2.0,0.0
3.5,4.5
0.5,-0.5
11.0,10.5
0.5,-1.5
2.0,0.5
1.5,1.5
3.5,2.0
4.5,3.0
1.5,2.5
0.5,-0.5
0.0,-0.5
0.5,-0.5
0.0,0.0
0.5,0.0
0.0,-1.5
0.5,0.5
6.0,5.5
1.5,0.0
0.0,0.0
0.5,-1.5
1.0,0.5
-0.5,-1.5
0.0,1.0
1.0,-0.5
22.0,20.5
0.0,0.5
1.5,1.5
-0.5,0.5
1.0,1.0
-0.5,-2.0
1.5,0.0
1.5,2.5
1.0,0.0
0.0,-1.5
1.5,0.5
2.5,3.5
1.0,-1.0
1.0,-0.5
21.5,21.0
0.5,-1.0
1.5,1.5
3.0,2.5
0.0,0.0
0.0,0.0
2.5,1.5
1.0,0.5
-0.5,-2.0
6.5,6.0
1.5,1.5
0.5,-1.0
3.0,2.5
1.0,0.0
7.0,7.0
-0.5,-1.0
0.5,0.0
12.5,12.0
-0.5,-2.0
0.5,0.5
0.0,-0.5
0.0,0.5
0.5,-1.0
1.0,2.0
-0.5,-1.5
1.5,1.5
2.0,0.5
7.0,6.5
0.0,-1.5
1.0,0.5
1.5,1.0
1.5,0.0
0.5,2.5
1.0,0.5
0.0,-1.5
