MONFALCONE,CERVIGNANO A.G.
-0.5,1.5
0.0,2.0
1.5,2.5
1.5,4.0
0.0,1.0
1.0,5.5
0.0,3.5
2.0,3.5
1.5,6.0
0.0,3.0
0.5,1.0
2.0,6.0
3.0,5.5
2.0,3.5
0.5,4.5
3.5,5.5
1.0,1.0
0.0,1.5
1.0,3.0
-2.0,1.5
1.0,3.0
-0.5,2.5
2.0,7.5
0.5,12.0
5.0,7.5
1.5,6.5
0.0,0.5
1.5,4.5
21.0,22.5
0.5,3.0
0.5,4.0
3.0,8.5
8.5,11.5
2.5,6.0
17.5,19.5
-1.0,38.5
2.0,5.0
-0.5,3.5
5.5,50.0
0.0,2.0
0.5,3.5
0.0,2.0
5.0,6.0
2.0,3.5
5.0,6.0
1.0,3.0
0.5,2.5
0.5,0.5
0.0,4.0
0.0,2.0
1.5,4.5
0.5,3.0
2.5,4.5
1.5,4.0
0.0,1.0
5.0,5.0
1.0,4.5
1.0,4.5
0.5,5.0
0.0,2.0
0.5,0.5
0.0,2.0
0.0,3.0
-0.5,1.0
-2.0,0.5
0.0,5.0
0.0,3.0
0.5,2.5
0.0,7.0
0.5,3.0
24.5,26.0
2.0,4.5
0.0,1.0
1.0,3.5
0.0,1.0
0.0,2.0
-1.0,0.0
4.0,5.0
0.0,5.0
1.0,3.0
1.0,2.5
2.0,4.5
1.0,3.0
0.0,0.0
0.5,1.5
1.5,5.5
0.0,3.5
0.0,5.0
2.0,3.5
1.5,3.5
2.5,3.5
32.5,37.0
-1.0,2.5
4.0,5.0
1.0,2.5
0.0,1.5
4.0,5.5
1.0,4.5
-0.5,1.5
3.5,7.5
0.5,4.0
4.0,5.5
0.5,3.0
0.0,1.0
2.5,6.0
0.5,2.5
0.0,1.5
79.5,80.0
0.5,2.0
0.0,3.5
1.0,4.0
1.0,5.0
21.5,25.5
2.5,6.0
0.0,2.0
10.0,12.0
0.0,1.5
0.5,2.0
1.5,2.0
1.0,4.5
0.0,1.0
0.5,3.5
0.5,3.0
11.5,13.5
1.0,4.0
-0.5,1.0
-0.5,3.0
2.0,6.5
2.5,3.5
0.5,0.0
0.5,1.5
0.5,3.0
0.0,2.5
0.5,1.0
3.0,3.5
3.5,6.5
1.5,8.0
0.0,1.0
1.0,1.0
0.5,0.5
0.0,5.5
13.0,13.5
-0.5,1.5
0.0,3.0
2.0,4.5
4.5,6.0
4.0,8.0
