GRANAROLO,RUSSI
1.0,0.0
0.0,0.0
3.5,1.5
-1.0,-0.5
1.5,0.5
0.0,0.5
21.0,18.5
-0.5,0.5
3.5,3.0
1.0,1.5
0.5,1.5
-1.0,-0.5
3.0,1.5
1.0,1.5
0.5,-1.5
-0.5,0.5
1.0,0.5
0.5,0.5
2.5,0.5
-0.5,-0.5
5.0,5.5
5.0,7.0
3.5,3.0
3.0,4.5
-0.5,-1.5
-0.5,0.5
1.5,0.0
0.5,0.5
1.0,-1.5
0.5,0.5
2.5,2.0
1.5,1.5
4.5,3.0
0.5,0.5
2.5,2.5
0.0,1.0
0.0,-2.0
0.5,9.5
3.0,4.0
0.5,3.0
1.5,1.5
-1.0,0.5
3.5,2.5
3.0,3.5
1.5,-0.5
-0.5,0.0
1.0,0.0
1.0,1.0
49.0,47.0
-1.0,-0.5
0.5,0.0
8.0,12.0
7.0,5.0
2.0,3.0
4.0,3.5
1.0,1.0
0.5,-1.5
-1.0,0.5
0.5,0.5
0.5,0.5
1.0,-0.5
-0.5,0.5
1.0,0.5
1.0,1.5
11.0,8.0
0.5,1.0
3.0,2.5
2.0,2.0
2.5,1.0
-1.0,-0.5
17.5,16.5
9.0,10.0
0.5,-1.5
-0.5,0.5
2.0,12.5
4.5,5.5
8.5,6.0
-0.5,0.0
1.5,1.0
1.0,1.0
1.0,-1.5
-1.0,-0.5
3.0,1.5
1.0,1.0
0.5,-1.5
0.0,0.5
1.0,1.0
9.0,6.5
-0.5,0.0
0.0,0.0
0.5,1.0
1.5,-1.0
0.0,0.0
3.0,2.5
0.5,0.0
0.5,-1.5
-1.0,-0.5
1.5,1.5
1.0,0.5
0.0,-2.0
-0.5,0.0
3.5,2.0
28.5,30.0
0.0,-1.5
0.0,0.5
2.5,0.5
1.0,1.5
0.0,-1.0
0.0,1.0
3.5,1.5
1.5,1.5
0.0,-2.5
-0.5,1.5
6.0,6.0
1.0,2.5
0.5,0.5
1.5,9.0
3.5,4.0
1.0,3.0
2.0,2.0
0.0,2.0
2.5,1.0
1.0,1.0
3.5,2.0
1.0,2.0
4.5,3.5
0.0,0.5
1.5,-1.0
1.5,2.0
1.5,0.0
3.0,3.0
0.5,-1.5
0.5,1.5
3.5,3.0
1.0,1.0
2.0,-0.5
-1.0,0.0
2.0,1.0
1.5,1.5
4.0,2.0
1.0,0.5
1.0,0.0
1.0,1.0
9.0,7.5
-0.5,0.0
1.5,0.0
0.0,0.0
6.5,3.5
-1.0,0.0
2.5,2.0
0.5,0.0
0.5,-1.0
-1.5,0.0
2.5,1.0
0.5,1.0
1.0,-0.5
4.0,4.5
1.0,2.0
7.5,4.5
-1.0,0.0
1.5,0.0
0.5,0.0
21.0,20.5
0.5,0.5
3.5,2.5
0.5,1.0
2.5,0.0
-0.5,-0.5
3.0,3.0
0.0,1.5
1.5,1.0
-0.5,0.5
1.5,0.5
0.5,0.5
1.5,0.0
