MONSELICE,ESTE
1.0,0.5
1.5,0.5
0.5,-0.5
0.5,-0.5
1.5,0.0
3.0,2.0
10.0,9.5
2.0,1.0
1.0,0.0
1.5,-0.5
1.5,1.0
2.0,1.0
1.0,0.5
1.5,0.5
1.0,0.0
1.0,-0.5
1.5,1.0
1.5,1.0
0.5,-0.5
2.0,1.0
1.5,1.0
1.0,0.0
1.0,-0.5
1.0,0.5
1.0,0.0
1.0,-0.5
1.5,-0.5
2.5,1.0
1.5,0.0
0.5,-0.5
1.0,-0.5
0.5,-0.5
1.0,0.0
1.5,2.0
1.0,0.5
1.0,0.0
1.5,0.5
2.0,1.0
1.5,0.0
0.5,-0.5
2.0,0.5
1.0,0.0
1.0,0.5
2.0,0.5
1.5,2.0
2.0,1.0
2.0,0.5
1.0,-0.5
1.0,0.0
1.0,-0.5
1.0,-0.5
1.0,-0.5
4.0,3.0
0.5,0.5
0.5,-0.5
1.0,0.5
4.0,2.5
1.5,1.0
1.0,-0.5
1.0,0.5
1.0,-0.5
1.0,0.0
1.5,0.5
2.5,2.0
5.0,3.5
1.5,0.5
3.0,1.5
1.0,-0.5
1.5,0.0
1.5,0.5
1.0,1.0
1.0,0.0
1.0,0.5
1.0,0.5
1.0,-0.5
1.0,0.0
1.0,0.0
1.0,0.0
2.0,1.0
1.5,1.0
1.0,0.0
4.0,3.0
0.5,-0.5
1.5,0.5
1.0,0.0
1.0,0.5
2.0,1.0
1.0,0.5
1.0,0.0
0.5,-0.5
1.0,0.0
1.5,0.0
2.0,1.5
1.0,-0.5
1.0,0.5
1.5,0.0
2.0,0.5
1.0,-0.5
2.0,2.0
1.0,-0.5
3.5,2.5
1.0,1.0
1.0,-0.5
3.0,1.0
1.0,0.0
1.0,0.0
3.0,1.5
1.0,0.5
1.0,0.5
2.0,2.0
1.0,-0.5
1.0,-0.5
1.0,0.0
0.5,0.0
1.0,1.0
1.5,0.0
1.0,-0.5
1.5,0.5
2.0,1.0
2.0,1.0
1.0,0.0
1.0,-0.5
1.0,-0.5
1.0,0.0
1.0,0.0
1.5,1.0
4.0,3.0
1.0,1.0
3.0,2.5
1.0,0.0
2.0,2.5
1.0,0.0
2.5,1.0
1.5,0.0
1.5,0.5
1.0,-0.5
0.5,-0.5
1.0,-0.5
0.5,0.0
2.5,0.5
1.5,0.0
1.0,0.5
1.0,-0.5
1.5,0.5
1.0,-0.5
1.0,1.5
0.5,-1.0
2.0,1.0
1.5,0.0
0.5,-1.0
1.0,0.0
1.0,0.0
2.0,1.0
1.5,0.5
1.0,-0.5
1.0,0.0
1.0,-0.5
1.0,0.0
1.0,-0.5
2.0,1.0
1.0,-0.5
1.5,0.5
1.0,0.5
8.5,7.0
2.0,0.5
1.0,0.0
0.5,-1.0
1.5,2.0
1.0,-0.5
1.5,0.0
1.0,0.0
1.5,0.5
1.0,0.0
1.5,0.5
1.0,1.0
2.0,0.5
2.0,1.5
2.0,1.5
1.0,0.0
0.5,0.0
2.0,0.5
2.0,1.5
1.0,-0.5
1.5,-0.5
0.5,-0.5
0.5,-1.0
1.0,-0.5
1.0,1.0
0.5,-1.0
0.5,0.0
1.0,-0.5
1.5,1.0
1.0,-0.5
1.0,-0.5
3.0,2.0
1.0,-0.5
0.5,-1.0
2.0,1.0
1.0,0.5
2.5,1.5
1.5,1.0
1.5,1.0
0.5,0.0
2.0,0.5
5.5,4.0
1.5,1.5
1.5,-0.5
0.5,0.0
2.5,1.5
0.5,-0.5
0.5,0.0
1.0,0.0
2.5,1.0
0.5,-0.5
1.5,0.5
1.0,-0.5
0.5,0.0
1.0,0.0
47.5,46.0
0.5,0.0
1.0,-1.0
1.0,0.5
1.5,0.5
1.0,0.0
1.5,0.0
2.0,1.0
11.5,10.0
6.0,5.0
0.5,0.5
2.0,0.5
5.0,3.5
8.0,7.0
