BISCEGLIE,TRANI
-0.5,-1.5
-0.5,-0.5
-0.5,-1.5
-1.0,-1.0
1.0,-0.5
0.0,-0.5
9.5,8.5
2.5,0.5
0.5,-1.0
3.0,2.0
2.0,0.0
1.5,0.5
6.0,4.0
-0.5,-1.5
2.0,1.0
1.5,0.5
0.0,-1.0
-0.5,-1.0
0.0,-1.0
1.0,0.0
-0.5,-1.0
2.5,1.5
4.5,2.5
3.5,7.5
3.5,1.5
1.0,-1.0
-0.5,-1.0
2.5,1.5
-1.0,-1.5
-0.5,-1.0
0.0,-1.5
0.0,-1.5
2.0,0.0
5.0,2.5
3.0,1.5
1.5,0.5
2.0,0.0
-0.5,-1.0
-1.0,-1.5
5.0,2.5
1.0,-0.5
0.0,-1.0
0.0,-0.5
-0.5,-1.5
0.0,-1.0
0.0,-1.0
1.5,0.0
1.0,-0.5
1.5,-0.5
0.5,-1.5
0.0,-1.0
0.0,-0.5
1.5,0.0
0.0,-0.5
0.5,-1.0
1.5,0.5
-0.5,-0.5
0.5,0.0
1.0,0.0
8.5,7.5
1.0,-0.5
3.5,2.0
0.5,-1.0
3.5,1.5
2.0,-1.0
0.5,-0.5
-0.5,-1.0
0.0,-0.5
-0.5,-0.5
0.0,-1.0
3.0,1.0
-0.5,-1.0
1.5,0.0
7.0,6.5
0.5,0.5
2.5,1.5
6.0,4.5
-0.5,-0.5
3.5,1.5
0.0,-1.0
-0.5,-1.0
20.0,18.5
-0.5,-0.5
3.5,3.0
0.5,-0.5
2.5,2.0
-0.5,-1.0
-0.5,-0.5
0.5,-0.5
0.5,-0.5
3.5,1.5
-0.5,-1.0
3.0,1.5
0.5,0.0
-0.5,-1.0
-0.5,-1.5
-0.5,-1.0
3.0,1.5
3.0,2.0
3.5,1.5
