ROVERBELLA,MOZZECANE
2.0,1.0
3.0,4.0
2.5,0.5
3.5,1.5
3.0,3.0
11.5,11.0
9.0,10.0
-1.0,-1.0
3.0,1.5
-0.5,-1.0
3.0,2.0
-1.0,0.5
1.0,0.5
5.0,5.0
-0.5,-1.5
1.0,0.5
3.0,2.0
3.5,1.5
-1.0,1.0
28.5,29.0
7.5,6.5
7.5,6.0
-1.0,-2.5
-1.0,-1.0
1.0,-0.5
5.5,5.5
1.5,0.5
6.0,4.5
1.5,0.5
5.0,3.5
1.5,0.0
11.5,13.0
-0.5,-1.0
1.5,1.5
1.0,0.0
1.0,-0.5
0.5,0.0
-0.5,2.0
0.0,-1.0
0.5,-1.0
1.0,7.5
1.5,1.5
3.5,3.0
0.0,-0.5
4.5,3.0
6.0,4.0
1.0,10.0
0.0,-1.5
4.5,3.0
3.5,2.5
0.5,8.0
13.5,11.5
4.5,2.5
-1.5,-1.5
8.0,7.0
1.5,6.0
3.5,2.0
10.0,9.0
0.5,0.0
3.0,3.0
1.5,0.0
2.5,1.0
1.5,1.0
2.5,1.0
7.5,7.5
2.5,3.0
-1.0,-1.5
4.0,4.0
0.5,1.0
4.5,5.0
3.5,2.0
10.0,8.5
4.5,4.0
0.5,-1.0
4.0,8.5
3.5,1.5
2.0,2.5
1.0,1.0
3.5,4.0
6.5,6.0
0.0,-1.0
1.0,-0.5
9.0,9.5
3.5,2.0
1.0,1.0
12.0,11.5
3.5,2.5
9.5,10.0
1.5,1.0
2.5,1.5
1.0,0.0
1.0,2.0
2.5,1.5
0.0,-1.5
6.0,5.0
4.0,2.5
11.5,9.0
2.0,0.5
4.0,2.0
5.0,6.5
