BRINDISI,OSTUNI
0.0,0.0
0.0,0.0
2.0,2.0
-0.5,0.0
0.5,2.0
0.5,5.0
2.0,1.5
1.0,2.0
1.0,2.5
1.5,1.0
-0.5,-1.5
0.0,2.0
1.0,2.0
1.5,2.5
1.0,2.0
2.0,2.5
-0.5,-1.5
0.0,1.0
-0.5,0.5
2.0,2.0
-0.5,1.0
1.0,2.0
-1.0,1.5
2.5,1.5
1.5,2.5
0.5,1.5
0.0,0.0
12.5,13.5
0.5,0.5
1.0,2.0
0.0,2.5
1.5,1.0
7.0,11.0
-1.0,1.0
2.0,0.5
4.5,5.5
0.5,-1.0
-1.0,0.0
-0.5,-1.0
2.0,4.0
5.0,5.5
0.5,1.5
2.5,1.5
0.0,1.5
1.0,2.5
2.0,3.5
0.0,-1.5
43.0,41.5
1.5,1.0
0.0,1.0
2.5,2.5
0.5,1.0
0.0,1.5
0.5,0.5
0.0,-1.5
1.5,2.0
0.0,0.5
2.0,2.5
-0.5,3.5
2.0,1.5
3.5,2.5
2.5,3.5
0.0,1.0
-0.5,1.0
2.0,1.0
1.5,3.0
-0.5,0.0
1.0,2.0
22.5,23.5
5.5,5.5
0.0,2.5
0.0,0.0
11.5,11.5
-0.5,-2.0
5.5,5.5
-0.5,-1.5
0.5,-1.0
0.0,5.5
1.5,2.5
1.0,2.5
-0.5,-0.5
1.5,0.0
-0.5,0.0
1.0,12.0
0.5,1.5
0.0,1.5
-0.5,1.0
0.5,-0.5
0.5,2.5
0.5,-1.0
0.0,1.5
-0.5,6.5
0.5,3.0
13.5,14.0
1.5,4.0
-0.5,0.0
0.0,-0.5
-0.5,18.0
2.0,2.0
0.5,0.5
