BOLOGNA C.LE,S.LAZZARO DI SAVENA,OZZANO DELL'EMILIA
2.5,5.5,4.5
2.0,2.0,1.5
5.5,6.0,5.5
1.5,2.0,1.0
2.0,2.0,2.0
4.0,15.5,14.5
3.5,4.5,4.0
3.0,4.0,3.0
2.0,1.5,2.0
1.5,1.0,1.0
2.0,1.5,2.0
2.0,3.5,4.0
1.0,2.0,2.0
1.5,1.0,1.0
2.0,8.0,7.0
1.5,2.5,3.0
3.0,3.5,4.0
2.5,3.5,2.5
2.0,2.0,1.5
2.0,1.5,2.0
3.5,5.0,5.0
1.5,3.0,3.0
1.5,5.0,5.0
1.0,1.5,2.0
2.0,4.0,4.0
2.0,3.0,3.5
3.0,4.5,5.0
1.5,4.0,5.0
2.5,3.5,3.5
3.5,12.0,11.5
2.5,4.5,4.0
1.5,6.0,5.5
2.0,2.5,2.5
2.0,2.5,2.0
1.5,2.0,2.0
2.5,2.0,3.0
5.0,7.5,8.0
10.0,13.0,12.5
2.5,2.0,2.0
13.5,15.5,15.5
1.5,5.5,4.5
1.5,1.0,1.5
6.5,8.0,7.0
1.5,1.5,2.0
1.5,1.0,2.0
1.5,2.0,1.5
1.5,7.0,6.5
6.0,6.5,5.5
1.5,1.0,1.5
6.0,7.0,6.0
2.0,3.0,2.5
2.0,2.0,2.0
1.5,3.0,2.5
6.0,6.5,5.5
2.0,2.0,2.0
2.0,3.5,3.5
1.5,7.5,8.0
4.0,3.5,4.0
2.0,6.0,5.5
2.0,2.5,3.0
2.0,1.5,1.5
1.0,1.5,7.0
2.0,2.5,2.5
2.5,2.0,2.0
6.0,8.0,7.5
4.5,4.0,2.5
2.5,2.0,1.5
2.0,4.5,4.5
2.0,4.0,3.0
3.0,3.0,2.5
28.5,45.0,60.5
2.0,2.0,26.5
2.0,1.5,2.0
8.0,11.5,10.5
1.5,4.0,12.5
2.5,2.0,2.0
2.0,3.0,3.0
1.5,2.0,1.5
2.0,1.5,1.5
10.0,11.5,10.5
2.0,2.5,2.5
11.0,12.5,12.5
17.0,17.0,16.5
3.0,2.5,2.5
2.0,5.5,11.5
33.5,35.0,35.0
7.0,8.0,9.0
7.0,8.0,8.0
1.5,2.5,2.5
1.5,1.5,2.0
1.5,3.0,2.5
1.5,2.5,1.5
1.0,4.0,3.5
3.5,5.0,5.0
5.5,6.5,6.5
2.5,2.0,3.0
1.5,3.5,3.5
17.0,19.0,19.0
5.0,6.5,5.0
1.5,1.0,0.5
