BERGAMO,BRESCIA,VERONA PORTA NUOVA
1.0,-3.0,-11.0
1.0,1.5,-4.5
1.0,1.0,-0.5
1.0,2.5,-0.5
2.5,-7.5,-0.5
2.5,-7.5,-5.0
0.0,4.5,-4.0
0.0,0.0,0.5
2.0,-16.5,7.5
1.0,1.0,-4.0
1.0,-5.0,5.0
1.0,7.5,1.5
1.0,-11.0,-5.5
1.0,-12.0,-10.5
2.0,5.5,0.0
1.0,1.5,-1.5
3.0,-13.5,-1.5
1.0,-0.5,-2.5
2.0,-9.5,-9.5
0.0,-1.0,-9.0
1.0,-3.0,-5.0
0.0,3.5,2.0
1.0,-2.0,1.0
0.5,-11.5,2.0
1.0,-9.0,-0.5
1.0,2.5,-2.0
3.5,3.0,8.0
231.0,233.5,228.0
1.0,-1.5,-2.5
1.0,3.5,3.0
1.0,-8.5,-7.0
1.0,-1.5,-2.0
6.0,0.0,0.0
2.0,-0.5,-3.0
2.5,5.5,-2.0
1.0,1.5,4.0
0.5,0.0,-6.5
0.0,3.5,1.0
0.0,0.0,-6.5
2.0,-5.5,-1.5
1.0,0.0,4.0
0.0,-11.5,-4.0
1.0,1.0,-3.0
1.0,-0.5,-7.0
0.0,-4.5,-12.0
3.0,6.0,1.0
1.0,4.0,-1.5
5.0,0.0,-2.5
1.0,5.5,-1.0
5.0,-4.5,-1.0
1.0,7.0,3.5
3.5,5.0,-2.0
3.0,3.5,-1.5
1.5,0.5,1.0
2.0,2.0,3.0
0.0,8.5,0.0
2.0,-8.0,-4.0
1.0,-6.5,-7.0
1.0,-9.0,-8.5
1.0,-25.0,-9.5
2.0,-6.5,-11.5
2.0,-3.0,-11.0
1.0,-0.5,-2.0
1.0,1.5,-3.5
0.5,6.0,0.0
1.0,0.5,-7.0
0.5,-15.0,-12.0
1.0,2.0,-4.0
1.0,2.5,-5.0
1.0,8.5,1.0
1.0,0.5,-2.0
0.5,3.5,10.0
2.0,-6.0,-7.5
1.0,-1.0,-9.0
0.0,3.5,-4.0
1.0,1.5,-4.5
1.0,-2.0,-4.5
1.0,3.0,-5.0
2.0,-14.0,-0.5
1.0,2.5,-1.0
0.0,-1.5,-7.5
0.0,2.0,3.5
1.0,6.0,-2.0
2.0,2.5,-4.0
1.0,-4.0,-3.5
2.0,-3.0,-3.5
2.5,5.5,4.0
1.5,2.0,-3.0
3.0,-10.5,-9.5
1.0,-6.0,-6.0
1.5,-7.0,-1.0
1.0,-3.0,-8.0
1.5,-2.0,-3.0
1.5,4.0,4.5
2.0,-13.0,-8.0
0.0,-12.5,-1.0
0.5,0.5,-1.0
1.5,-8.5,-3.5
1.0,-8.0,4.0
0.0,-1.0,-9.5
