NAPOLI CENTRALE,ROMA TERMINI,FIRENZE CAMPO MARTE
2.5,-2.0,-2.5
2.0,-5.0,2.0
2.5,-5.0,9.0
6.0,1.0,-0.5
7.5,3.0,5.5
19.5,13.0,7.5
2.5,-3.5,9.0
3.5,-1.0,-2.0
0.5,0.0,5.0
1.5,1.0,9.0
1.0,3.0,4.0
3.0,8.0,11.5
4.5,3.0,6.5
1.5,7.0,11.0
1.0,-1.0,4.0
3.0,3.0,9.5
3.0,-1.0,7.0
1.5,0.0,4.0
1.5,0.0,4.0
1.5,1.0,10.0
2.5,-3.0,0.5
5.0,1.0,13.0
2.0,-6.0,6.5
2.5,1.0,0.5
2.0,-1.5,3.5
89.5,280.0,411.0
7.0,-1.0,7.0
2.0,-1.5,7.0
6.0,2.0,4.5
3.5,9.0,25.0
7.0,-1.0,4.0
8.0,2.0,4.5
5.5,0.0,2.0
1.0,-2.0,1.5
3.0,2.0,5.5
2.5,-1.0,6.0
1.5,1.0,6.5
1.5,-1.5,0.5
2.5,-1.0,5.0
4.5,5.0,5.5
1.0,-3.0,8.5
9.0,4.0,7.0
2.0,-1.0,9.5
3.0,6.0,5.5
1.5,-4.0,2.0
1.0,-6.0,2.0
1.0,16.0,11.5
2.0,0.0,10.5
4.5,0.0,5.5
1.5,-1.0,2.5
13.5,14.0,11.5
6.5,3.0,5.5
2.5,-0.5,26.5
1.0,-7.0,2.5
1.5,-4.0,3.0
4.0,0.0,21.0
1.0,2.0,5.5
3.0,0.0,11.0
0.5,-4.0,5.0
3.0,-0.5,8.5
3.0,-3.0,3.5
2.5,-1.0,7.0
1.0,1.0,20.0
1.0,2.0,6.0
3.5,2.0,8.5
4.5,0.0,1.0
2.5,-1.0,4.5
3.0,0.0,-1.0
1.0,-2.0,6.0
1.5,-2.0,6.0
1.0,-2.0,2.5
1.5,2.0,26.5
4.5,8.0,10.5
1.0,0.0,13.0
7.5,4.0,17.0
1.0,0.0,3.5
1.0,0.0,10.0
4.0,2.0,5.0
1.0,-3.0,9.0
2.5,-3.5,-3.0
1.5,9.0,12.0
3.5,-1.0,28.0
1.5,-1.0,2.5
1.0,-4.0,3.0
3.5,0.0,2.5
5.0,4.0,28.5
7.0,1.0,1.5
3.0,-1.0,5.0
2.5,-4.0,3.0
3.0,-1.5,2.0
3.0,-4.0,7.5
2.5,-0.5,-1.0
6.0,0.0,7.5
12.0,8.0,5.0
2.5,2.0,5.0
3.0,-5.0,9.5
2.0,2.0,3.0
3.5,-6.5,22.5
2.0,0.0,10.5
1.5,-2.0,6.0
