NAPOLI CENTRALE,AVERSA,FORMIA-GAETA
32.5,34.0,41.5
1.5,2.5,1.5
9.0,6.5,9.0
1.5,1.5,7.0
5.5,8.5,7.5
2.5,2.0,2.5
2.0,0.5,1.0
20.0,20.0,20.5
2.0,5.0,4.0
1.0,1.0,1.5
13.0,14.0,12.5
1.5,0.5,0.5
6.5,6.5,5.0
1.0,1.0,1.0
1.0,1.0,0.5
7.0,7.0,7.0
2.5,3.0,3.5
36.0,37.0,244.5
7.5,13.0,18.0
1.0,1.0,1.5
5.0,11.5,11.0
2.5,3.0,1.0
4.0,5.0,3.5
4.0,3.0,2.0
3.0,1.5,1.0
14.5,14.0,12.5
2.0,3.0,5.5
8.5,7.5,9.0
0.5,1.0,1.0
8.0,12.0,18.0
1.5,1.0,5.0
4.0,5.0,5.0
2.0,1.5,1.5
4.5,4.5,4.0
3.5,2.0,1.5
2.5,1.5,1.5
2.5,3.0,4.5
1.0,2.0,0.5
2.5,6.0,7.0
1.5,2.5,2.0
3.0,4.0,2.0
2.0,3.5,4.0
26.0,25.0,24.5
1.5,1.0,1.0
1.5,1.0,1.5
3.0,3.5,5.0
3.5,4.0,5.0
1.5,3.0,3.0
4.5,5.5,6.5
1.5,2.0,2.0
2.5,3.0,1.0
5.0,3.5,5.0
17.5,22.5,22.5
4.0,4.0,3.0
4.5,5.0,4.5
1.0,1.0,1.5
60.0,62.0,61.5
0.5,2.0,2.5
1.5,2.0,0.5
3.0,4.5,7.5
